"Domain","URL","Branch","Agency","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"18f.gov","https://www.18f.gov","executive","General Services Administration","Yes","Yes","Yes","Yes","Yes",""
"9-11commission.gov","https://9-11commission.gov","executive","National Archives and Records Administration","No","Yes","Yes","No","",""
"911.gov","http://www.911.gov","executive","Department of Transportation","No","Yes","No","No","",""
"911commission.gov","http://www.911commission.gov","executive","National Archives and Records Administration","Yes","No","","","",""
"aapi.gov","http://www.aapi.gov","executive","Department of Education","Yes","No","","","",""
"abandonedmines.gov","http://www.abandonedmines.gov","executive","Department of the Interior","No","No","","","",""
"abilityone.gov","http://abilityone.gov","executive","Comm for People Who Are Blind/Severly Disabled","No","No","","","",""
"abmc.gov","https://abmc.gov","executive","American Battle Monuments Commission","No","Yes","Yes","No","",""
"access-board.gov","https://www.access-board.gov","executive","U. S. Access Board","No","Yes","Yes","No","",""
"acf.gov","http://www.acf.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"achp.gov","http://achp.gov","executive","Advisory Council on Historic Preservation","No","No","","","",""
"acl.gov","http://acl.gov","executive","Department of Health And Human Services","No","Yes","No","No","",""
"acquisition.gov","https://www.acquisition.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"acus.gov","https://www.acus.gov","executive","Administrative Conference of the United States","No","Yes","Yes","Yes","Yes",""
"acwi.gov","http://acwi.gov","executive","Department of the Interior","No","No","","","",""
"ada.gov","https://www.ada.gov","executive","Department of Justice","No","Yes","Yes","Yes","Ready",""
"adf.gov","http://adf.gov","executive","African Development Foundation","No","No","","","",""
"adlnet.gov","https://www.adlnet.gov","executive","Department of Defense","No","Yes","Yes","No","",""
"admongo.gov","https://www.admongo.gov","executive","Federal Trade Commission","No","Yes","Yes","No","",""
"adr.gov","https://www.adr.gov","executive","Department of Justice","No","Yes","Yes","Yes","Ready",""
"afadvantage.gov","https://afadvantage.gov","executive","General Services Administration","No","Yes","Yes","No","",""
"aff.gov","http://www.aff.gov","executive","Department of Agriculture","No","Yes","No","No","",""
"afrh.gov","https://www.afrh.gov","executive","Armed Forces Retirement Home","No","Yes","Yes","No","",""
"africanamericanhistorymonth.gov","http://africanamericanhistorymonth.gov","legislative","Library of Congress","No","No","","","",""
"afterschool.gov","http://www.afterschool.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"aging.gov","http://www.aging.gov","executive","Department of Health And Human Services","Yes","Yes","No","No","",""
"agingstats.gov","https://agingstats.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","",""
"ahcpr.gov","http://www.ahcpr.gov","executive","Department of Health And Human Services","Yes","Yes","No","No","",""
"ahrq.gov","http://www.ahrq.gov","executive","Department of Health And Human Services","No","No","","","",""
"aidrefugees.gov","http://www.aidrefugees.gov","executive","Executive Office of the President","Yes","Yes","Yes","Yes","",""
"aids.gov","https://www.aids.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","Yes",""
"airnow.gov","https://airnow.gov","executive","Environmental Protection Agency","No","Yes","Yes","Yes","Yes",""
"alaskacenters.gov","http://alaskacenters.gov","executive","Department of the Interior","No","No","","","",""
"alertaenlinea.gov","https://www.alertaenlinea.gov","executive","Federal Trade Commission","Yes","Yes","Yes","No","Ready",""
"altusandc.gov","http://www.altusandc.gov","executive","Department of Defense","No","No","","","",""
"alzheimers.gov","http://www.alzheimers.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"ama.gov","https://www.ama.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"america.gov","https://www.america.gov","executive","Department of State","No","Yes","Yes","No","",""
"americanmemory.gov","http://www.americanmemory.gov","legislative","Library of Congress","Yes","No","","","",""
"americasheroesatwork.gov","http://www.americasheroesatwork.gov","executive","Department of Labor","Yes","No","","","",""
"americaslibrary.gov","http://www.americaslibrary.gov","legislative","Library of Congress","No","No","","","",""
"americasstory.gov","http://www.americasstory.gov","legislative","Library of Congress","Yes","No","","","",""
"americastory.gov","http://www.americastory.gov","legislative","Library of Congress","Yes","No","","","",""
"americathebeautifulquarters.gov","http://www.americathebeautifulquarters.gov","executive","Department of the Treasury","No","No","","","",""
"americore.gov","http://www.americore.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"americorp.gov","http://www.americorp.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"americorps.gov","http://www.americorps.gov","executive","Corporation for National & Community Service","Yes","Yes","No","Yes","",""
"americorpsconnect.gov","http://www.americorpsconnect.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"americorpsweek.gov","http://www.americorpsweek.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"ameslab.gov","https://www.ameslab.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"amtrakoig.gov","https://amtrakoig.gov","executive","AMTRAK","No","Yes","Yes","No","",""
"anchorit.gov","http://www.anchorit.gov","executive","Consumer Product Safety Commission","No","No","","","",""
"anl.gov","http://www.anl.gov","executive","Department of Energy","No","Yes","No","No","",""
"annualcreditreport.gov","http://www.annualcreditreport.gov","executive","Federal Trade Commission","Yes","No","","","",""
"anstaskforce.gov","http://www.anstaskforce.gov","executive","Department of the Interior","No","No","","","",""
"aoa.gov","http://aoa.gov","executive","Department of Health And Human Services","No","No","","","",""
"aoc.gov","https://www.aoc.gov","executive","Architect of the Capitol","No","Yes","Yes","No","",""
"ap.gov","http://www.ap.gov","executive","Department of Commerce","Yes","No","","","",""
"app.gov","http://www.app.gov","executive","General Services Administration","Yes","No","","","",""
"applicationmanager.gov","https://www.applicationmanager.gov","executive","Office of Personnel Management","Yes","Yes","Yes","Yes","",""
"apps.gov","https://apps.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"arc.gov","https://arc.gov","executive","Appalachian Regional Commission","No","Yes","Yes","No","",""
"archives.gov","https://www.archives.gov","executive","National Archives and Records Administration","No","Yes","Yes","No","",""
"arctic.gov","https://arctic.gov","executive","National Science Foundation","No","Yes","Yes","No","Yes",""
"arm.gov","http://www.arm.gov","executive","Department of Energy","No","Yes","No","No","",""
"ars-grin.gov","http://www.ars-grin.gov","executive","Department of Agriculture","No","No","","","",""
"arts.gov","https://www.arts.gov","executive","National Endowment for the Arts","No","Yes","Yes","No","",""
"asap.gov","https://www.asap.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","",""
"asc.gov","https://www.asc.gov","executive","Appraisal Subcommittee","No","Yes","Yes","No","",""
"asianpacificheritage.gov","http://asianpacificheritage.gov","legislative","Library of Congress","No","No","","","",""
"askkaren.gov","http://www.askkaren.gov","executive","Department of Agriculture","Yes","Yes","No","No","",""
"astrongmiddleclass.gov","http://www.astrongmiddleclass.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"atf.gov","https://www.atf.gov","executive","Department of Justice","No","Yes","Yes","No","",""
"atfonline.gov","http://atfonline.gov","executive","Department of Justice","No","Yes","No","No","",""
"atvsafety.gov","http://www.atvsafety.gov","executive","Consumer Product Safety Commission","Yes","No","","","",""
"aviationweather.gov","http://aviationweather.gov","executive","Department of Commerce","No","Yes","No","No","",""
"ayudaconmibanco.gov","http://www.ayudaconmibanco.gov","executive","Department of the Treasury","Yes","No","","","",""
"bankanswers.gov","http://www.bankanswers.gov","executive","Department of the Treasury","Yes","No","","","",""
